PLAYER_NAME,TEAM_NAME,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,LOC_X,LOC_Y,SHOT_MADE_FLAG,GAME_DATE
Jeff Teague,Atlanta Hawks,Right Side Center(RC),24+ ft.,168,190,1,20091028
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-37,69,1,20091030
Jeff Teague,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-141,113,1,20091101
Jeff Teague,Atlanta Hawks,Center(C),24+ ft.,-57,249,1,20091101
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-18,1,1,20091114
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-8,6,1,20091114
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-10,6,1,20091116
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-21,1,1,20091126
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,20,55,1,20091127
Jeff Teague,Atlanta Hawks,Center(C),24+ ft.,-2,257,1,20091202
Jeff Teague,Atlanta Hawks,Center(C),8-16 ft.,-23,86,1,20091202
Jeff Teague,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-130,135,1,20091202
Jeff Teague,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-78,175,1,20091209
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,39,26,1,20091209
Jeff Teague,Atlanta Hawks,Right Side(R),8-16 ft.,59,60,1,20091209
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-27,3,1,20091211
Jeff Teague,Atlanta Hawks,Center(C),16-24 ft.,15,230,1,20091211
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,31,53,1,20091211
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,24,11,1,20091211
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-26,19,1,20091211
Jeff Teague,Atlanta Hawks,Right Side(R),8-16 ft.,72,85,1,20091213
Jeff Teague,Atlanta Hawks,Center(C),24+ ft.,64,244,1,20091213
Jeff Teague,Atlanta Hawks,Center(C),16-24 ft.,-52,170,1,20091213
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,18,3,1,20091216
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-10,-8,1,20091218
Jeff Teague,Atlanta Hawks,Center(C),8-16 ft.,-23,77,1,20091218
Jeff Teague,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-121,164,1,20091223
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-19,-2,1,20100106
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,28,30,1,20100108
Jeff Teague,Atlanta Hawks,Center(C),16-24 ft.,-2,203,1,20100109
Jeff Teague,Atlanta Hawks,Right Side(R),16-24 ft.,159,99,1,20100109
Jeff Teague,Atlanta Hawks,Left Side(L),16-24 ft.,-153,88,1,20100109
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,42,67,1,20100113
Jeff Teague,Atlanta Hawks,Center(C),16-24 ft.,-40,176,1,20100125
Jeff Teague,Atlanta Hawks,Center(C),8-16 ft.,-8,80,1,20100202
Jeff Teague,Atlanta Hawks,Right Side Center(RC),16-24 ft.,141,131,1,20100205
Jeff Teague,Atlanta Hawks,Right Side Center(RC),16-24 ft.,143,162,1,20100209
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,23,14,1,20100221
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-10,-5,1,20100224
Jeff Teague,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-101,156,1,20100228
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,17,4,1,20100228
Jeff Teague,Atlanta Hawks,Right Side(R),24+ ft.,226,-13,1,20100301
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,15,15,1,20100303
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-11,1,1,20100305
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-16,7,1,20100305
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,1,30,1,20100313
Jeff Teague,Atlanta Hawks,Center(C),8-16 ft.,-35,77,1,20100313
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-11,3,1,20100317
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,51,48,1,20100319
Jeff Teague,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-90,170,1,20100321
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-2,71,1,20100326
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-43,50,1,20100331
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,70,26,1,20100403
Jeff Teague,Atlanta Hawks,Left Side Center(LC),24+ ft.,-98,236,1,20100406
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-24,60,1,20100406
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-43,52,1,20100410
Jeff Teague,Atlanta Hawks,Right Side Center(RC),24+ ft.,217,131,1,20100414
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,21,-2,1,20100414
Jeff Teague,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-78,183,1,20100414
Jeff Teague,Atlanta Hawks,Center(C),8-16 ft.,1,88,1,20100414
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-19,7,1,20100414
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-4,-2,1,20100414
Jeff Teague,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-138,123,1,20100414
Jeff Teague,Atlanta Hawks,Center(C),Less Than 8 ft.,-10,9,1,20100414
Al Horford,Atlanta Hawks,Center(C),Less Than 8 ft.,20,30,1,20091028
Al Horford,Atlanta Hawks,Center(C),Less Than 8 ft.,4,36,1,20091028
Al Horford,Atlanta Hawks,Center(C),Less Than 8 ft.,21,4,1,20091028
Al Horford,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-117,123,1,20091028
Al Horford,Atlanta Hawks,Right Side Center(RC),16-24 ft.,86,157,1,20091028
Al Horford,Atlanta Hawks,Right Side(R),8-16 ft.,136,82,1,20091028
Al Horford,Atlanta Hawks,Center(C),Less Than 8 ft.,15,7,1,20091028
Al Horford,Atlanta Hawks,Center(C),8-16 ft.,-10,96,1,20091028
Al Horford,Atlanta Hawks,Center(C),Less Than 8 ft.,26,41,1,20091030
Al Horford,Atlanta Hawks,Center(C),Less Than 8 ft.,47,7,1,20091030
Al Horford,Atlanta Hawks,Right Side(R),16-24 ft.,198,22,1,20091101
Al Horford,Atlanta Hawks,Center(C),8-16 ft.,18,116,1,20091101
Al Horford,Atlanta Hawks,Center(C),8-16 ft.,2,154,1,20091103
Al Horford,Atlanta Hawks,Center(C),Less Than 8 ft.,47,44,1,20091104
Al Horford,Atlanta Hawks,Center(C),Less Than 8 ft.,77,20,1,20091106
Al Horford,Atlanta Hawks,Center(C),Less Than 8 ft.,15,53,1,20091106
